marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	52942573	R3V845Y622CGM2	0374266425	380749586	Sophie's World: A Novel about the History of Philosophy	Books	4	0	0	N	N	Who am I?	Who am I, what am I, and where am I are questions you are forced to consider as you read and reread this book.  The book is a philosophical mystery disguised as a text book, child's book and sci fi book all rolled into one.   Reality becomes fiction and fiction reality making you question your very existence.  Sophie, Hilde, me and my mother and I...are we one...many...or just a figment of this review.	1997-10-02
US	51943814	R27JKV3LAHLI1Z	0385483821	715348997	Only the Paranoid Survive: How to Exploit the Crisis Points That Challenge Every Company	Books	5	3	3	N	N	The book contains extremely practical and useful idea	I find the book stimulate people to alert the environmental change, it is not only useful for business, bu also it is more useful for personal career development especially in the internet age. Andy's presentation is simple  and to-the-point, I finish the book in a non-stop 8 hours. I think all the  readers can benefit from the idea in the book.	1999-06-17
US	51201298	R2IUWCJFUCQZCC	6305627401	376100603	South Park: Bigger, Longer & Uncut	Video DVD	5	0	1	N	N	THE BEST MOVIE !!!!!	Oh my gosh, I can't believe that someone couldn't get that this movie is not sopposed to be view in a critical way. Just sit back and watch and laugh, that's all there is to it. Unbelievable! I love this movie! I  recomend it to everyone (except kids)!!	1999-10-07
US	51024297	R1ZNLQI9SCS8JL	0880381736	486220975	Dragons of Autumn Twilight (DragonLance Chronicles, Vol. 1)	Books	5	0	0	N	N	What an entrance into fantasy!	I've never really read fantasy novels, but my friend bought this book for me, and I loved it!  Now I'm desperately trying to find more books in this series.  It's a great read for someone who wants to read a good fantasy  novel.	1999-10-10
US	53080304	RLMZQ68AVQAOV	0899663036	892654736	A Tree Grows in Brooklyn	Books	5	0	0	N	N	Great book!	A very somber yet at times cheerful look at life in Brooklyn. The story is told through the eyes of a young girl growing up in a very poor family. It tells of her life from grade school to adulthood. The family experiences  many tragedies along the way to eventual happiness. I got this book because  it was the most read book by GI's during WWII. I did not know what it was  about. It has great characters, stories and a upbeat ending. I would  recommend it to teenagers who want I look at life from a different  perspective.	1999-10-12
US	50740164	RVN6VDDOHXP9Y	B000002U9L	199774016	Labyrinth: From The Original Soundtrack Of The Jim Henson Film	Music	5	30	34	N	N	Labyrinth is a great cd that everyone will love and enjoy	I love this cd to death!   Some of my favorite tracks are #1,3,7, and the last one Underground.  We have all seen the movie and heard the music.  If not then I highly suggest watching it.  The music in my opinion takes me to  another world of joy and excitement.  Listen to some of the examples and  try to imagine being somewhere else.  That should help you decide that it  is a great cd and a must for every music collection.  David Bowie and  Trevor Jones did a wonderful job with it.  Two thumbs up or 5 Stars and a  half.	1999-11-21
US	51864502	RQIAXT55B2I01	B000002GBK	19089398	The Myths & Legends Of King Arthur & The Knights Of The Round Table	Music	2	2	15	N	N	Let's not go to Camelot, it is a silly place	Wakeman is one of the Great Egos that Walks in the world of rock.  There are times when his reputation is well deserved; this is not really one of them.  The peice on Merlin is one of the most senselessly silly works he  ever put together; most of the rest range from fair to blase.  If you are a  Wakeman completist, or an odd Arthurian, I would reccomend it; otherwise, I  would suggest you save your shekels for some of his better works.	1999-11-26
US	51064713	RAXNGN7LP46EA	B00000K19E	825346055	The Matrix	Video DVD	5	9	25	N	N	THE MATRIX IS GREAT	This is the best movie ever!	1999-12-10
US	50071985	R2YOWTFI0QKZUP	B000021XS0	518273828	Metropolis Part 2: Scenes from a Memory	Music	5	0	0	N	N	DREAM THEATERS 2ND BEST BEHIND IMAGES AND WORDS	I FIND IT FUNNY HOW THE FEW PEOPLE WHO KNOCK THE ALBUM REFUSE TO PUT THEIR NAMES ON THEIR REVIEWS.  FIRST OFF, AFTER THE OBVIOUS DISAPPOINTMENT OF FALLING INTO INFINITY THIS ALBUM REALLY IS A MASTERPIECE.  BEING A NON  MUSICIAN WHO HAPPENS TO LOVE DT, I REALLY GET TIRED OF ALL THE WANNA BE  JOHN PETRUCCI'S WHO CONSTANTLY FIND FAULT WITH BAND.  SFAM IS SIMPLY A  GREAT ALBUM.  NICE STORYLINE, GREAT MUSIC, AND GOOD LYRICS.  PLEASE LET  OPERATION MINDCRIME BE OPERATION MINDCRIME, AND LET THIS ALBUM STAND ON  IT'S OWN.  THERE ARE OBVIOUS SIMILARITIES TO PINK FLOYD, BUT IS THAT SO  BAD?  IF YOU ARE A NEW DT FAN STAY AWAY FROM THIS ONE AND GO WITH IMAGES  AND WORDS.  HARDCORE DT FANS CAN CONTINUE TO GET CHILLS EVERY TIME THEY  HEAR THE HYPNOTHERAPIST SAY,  &quot;WAKE UP NICHOLAS&quot;	2000-02-11
US	50431422	R21B1MEIHZXMI6	B00000JZC4	284369375	Title of Record	Music	5	0	1	N	N	title of excellence...	Filter did a great job on their latest effort. I enjoy the songs &quot;Take A Picture&quot; and &quot;The Best Things&quot;. I like the uniquness of the rest of the album. This is a good choice for an album, go  buy it.	2000-05-24
US	50089065	R2ITWBVKJCXBR	B00004T9UF	530484605	The Marshall Mathers LP	Music	4	0	1	N	N	hot lyrics, corny concepts,dope beats	i don't care what anybody says this boy can flow, some of the concepts for the songs are very corny, hotest tracks stan, marshall mathers, remember me, and b please 2	2000-05-24
US	49956141	RXR32LFL00FWS	B00000099Y	514416658	Aenima	Music	5	0	0	N	N	Rough, Dark, Poetic, Hard, Psychodelic, Pretty.... Amazing!	nima is the best album released in the 90's in my opinion, I've heard many albums by many artist but this thing is so diffrent, it's weird in a way and very avant-garde, it's complex and really artistic. this album is a  dark trip and you must pay a lot of attention while you listen to it in  order to actually catch the magic in it because your mind will not adjust  it so easily, it is powerful stuff. those guys are something above the  music industry of todays. GET IT!	2000-06-18
